rucmot2,Красноголовый момот
gobwar1,Златобровая корольковка
gcrwar,Желтошапочная корольковка
rucwar4,Chestnut-capped Warbler
fatwar,Веерохвостая корольковка
blcwar1,Чернощёкая корольковка
thswar5,Черноухая корольковка
rucwar,Рыжеголовая корольковка
thbwar2,Three-banded Warbler
thswar1,Three-striped Warbler
whehum,Белоухий колибри
giaant2,Гигантская батара
bkfruw1,Серобрюхая черногрудка
capbat1,Cape Batis
bkhbat1,Экваториальный батис
shtbat1,Короткохвостый батис
chibat1,Акациевый батис
gyhbat1,Приречный батис
pygbat1,Карликовый батис
pribat1,Вельдский батис
palbat1,Мозамбикский батис
javfro2,Малайский лягушкорот
larfro1,Ушастый лягушкорот
sunfro1,Рогатый лягушкорот
hodfro1,Длиннохвостый лягушкорот
ceyfro1,Цейлонский лягушкорот
phifro1,Филиппинский лякушкорот
goufro1,Чешуйчатый лягушкорот
whchor2,Белохохлый калао
potpal1,Пальмолаз
lobber1,Длинноклювая тетрака
bawfly1,Певчая сорокопутница
whbant2,Ошейниковый колючник
musduc1,Лопастная утка
gyhbri1,Гвинейский бюльбюль
lesbri2,Уздечковый бюльбюль
combri2,Краснохвостый бюльбюль
baywoo1,Красноухий дятел
marwoo1,Бордовый дятел
butcor1,Бледнохвостый венценосец
vepcor1,Гиацинтовый венценосец
chbcor1,Каштановогрудый венценосец
guaiab1,Гуайяберо
barpar1,Полосатый калита
andpar1,Андский калита
brihon1,Пестроклювый медосос
cedwax,Кедровый свиристель
bohwax,Свиристель
japwax1,Японский свиристель
rufgro,Воротничковый рябчик
watibi1,Серёжчатый ибис
hadibi1,Хагедаш
amebit,Американская выпь
grebit1,Большая выпь
whtjac1,Белощёкая якамара
brojac2,Бурая якамара
pubbul1,Puff-backed Bulbul
blhbul1,Black-headed Bulbul
bawbul2,Black-and-white Bulbul
gyhbul1,Gray-headed Bulbul
yewbul1,Yellow-wattled Bulbul
whbsho4,Гималайский короткокрыл
whbsho6,Тайваньский короткокрыл
rubsho1,Рыжебрюхий короткокрыл
lessho1,Малый короткокрыл
whbsho12,Javan Shortwing
marmur,Пёстрый пыжик
afgfly1,Африканская мухоловка
afbwar1,Болотная бурогрудка
afswar1,Певчая бурогрудка
bretai1,Эмухвостая бурогрудка
wwswar1,Белокрылая бурогрудка
cibwar1,Рыжеватая бурогрудка
camscw1,Лесная бурогрудка
knswar1,Капская бурогрудка
brant,Чёрная казарка
cangoo,Канадская казарка
cacgoo1,Малая канадская казарка
bargoo,Белощёкая казарка
hawgoo,Гавайская казарка
yecpar,Желтокрылая катита
gowpar2,Златокрылая катита
cowpar1,Синекрылая катита
orcpar,Оранжевогорлая катита
gycpar1,Серощёкая катита
tuipar1,Tui Parakeet
plapar1,Тирика
whwpar,Светлокрылая катита
wbbwea1,Белоклювый буйволов ткач
rbbwea1,Красноклювый буйволов ткач
spoeao2,Африканский филин
roeowl1,Бенгальский филин
eueowl1,Филин
dueowl1,Dusky Eagle-Owl
veeowl1,Verreaux's Eagle-Owl
sbeowl1,Spot-bellied Eagle-Owl
snoowl1,Белая сова
baeowl1,Barred Eagle-Owl
