rufgro,Kraaghoen
watibi1,Lelibis
hadibi1,Hadada-ibis
amebit,Noord-Amerikaanse Roerdomp
grebit1,Roerdomp
whtjac1,Witkeelglansvogel
brojac2,Bruinkeelglansvogel
pubbul1,Puff-backed Bulbul
blhbul1,Black-headed Bulbul
bawbul2,Black-and-white Bulbul
gyhbul1,Gray-headed Bulbul
yewbul1,Yellow-wattled Bulbul
whbsho4,Himalayan Shortwing
whbsho6,Taiwan Shortwing
rubsho1,Roestbuikkortvleugel
lessho1,Kleine Kortvleugel
whbsho12,Javan Shortwing
marmur,Marmeralk
afgfly1,Streepkopvliegenvanger
afbwar1,Moerasstruikzanger
afswar1,Barratts Struikzanger
bretai1,Madagaskarstruikzanger
wwswar1,Witvleugelstruikzanger
cibwar1,Kaneelstruikzanger
camscw1,Kameroenstruikzanger
knswar1,Kaapse Struikzanger
brant,Rotgans
cangoo,Grote Canadese Gans
cacgoo1,Kleine Canadese Gans
bargoo,Brandgans
hawgoo,Hawaiigans
yecpar,Chiririparkiet
gowpar2,Oranjevleugelparkiet
cowpar1,Kobaltvleugelparkiet
orcpar,Toviparkiet
gycpar1,Vuurvleugelparkiet
tuipar1,Tuíparkiet
plapar1,Tiricaparkiet
whwpar,Witvleugelparkiet
wbbwea1,Witsnavelbuffelwever
rbbwea1,Roodsnavelbuffelwever
spoeao2,Afrikaanse Oehoe
roeowl1,Bengaalse Oehoe
eueowl1,Oehoe
dueowl1,Dusky Eagle-Owl
veeowl1,Verreaux's Eagle-Owl
sbeowl1,Spot-bellied Eagle-Owl
snoowl1,Sneeuwuil
baeowl1,Barred Eagle-Owl
grhowl,Amerikaanse Oehoe
categr,Koereiger (Westelijk)
trufin2,Woestijnvink
yesbar1,Geelvlekbaardvogel
colpuf1,Gekraagde Baardkoekoek
chcpuf1,Bruinkapbaardkoekoek
spopuf1,Gevlekte Baardkoekoek
buffle,Buffelkopeend
comgol,Brilduiker
bargol,IJslandse Brilduiker
grehor1,Dubbelhoornige Neushoornvogel
rufhor1,Rosse Neushoornvogel
rhihor1,Gewone Neushoornvogel
helhor1,Helmeted Hornbill
soghor1,Zuidelijke Hoornraaf
bulpet,Bulwers Stormvogel
yeboxp1,Geelsnavelossenpikker
reboxp1,Roodsnavelossenpikker
dstkne,Double-striped Thick-knee
sptkne1,Kaapse Griel
butkne1,Australische Griel
indthk1,Indische Griel
eutkne1,Griel
setkne1,Senegalese Griel
petkne1,Peruvian Thick-knee
watkne1,Watergriel
blchaw1,Moerasbuizerd
gyfbuz1,Grijskopbuizerd
whebuz1,Witoogbuizerd
whthaw1,Witkeelbuizerd
zothaw,Bandstaartbuizerd
augbuz1,Augur Buzzard
madbuz1,Madagaskarbuizerd
shthaw,Kortstaartbuizerd
combuz1,Buizerd
rethaw,Roodstaartbuizerd
combuz6,Japanse Buizerd
rolhaw,Ruigpootbuizerd
reshaw,Roodschouderbuizerd
gryhaw3,Grijsgestreepte Buizerd
moubuz2,Bergbuizerd
gryhaw2,Grijze Buizerd
brwhaw,Breedvleugelbuizerd
ferhaw,Rosse Ruigpootbuizerd
ridhaw1,Ridgways Buizerd
hawhaw,Hawaiibuizerd
swahaw,Prairiebuizerd
comblh1,Zwarte Buizerd
croeag1,Kransarend
savhaw1,Savannebuizerd
slchaw2,Leigrijze Buizerd
soleag1,Amerikaanse Zwarte Arend
grbhaw1,Zwarte Arendbuizerd
homtan1,Blauwrugbergtangare
strher,Mangrovereiger
grnher,Groene Reiger
whthor1,Witpootneushoornvogel
sichor1,Zilveroorneushoornvogel
truhor1,Trompetneushoornvogel
piphor1,Fluitneushoornvogel
bawhor2,Grijsoorneushoornvogel
whicoc1,Witte Kaketoe
duccoc1,Ducorps' Kaketoe
succoc,Grote Geelkuifkaketoe
tancoc1,Goffins Kaketoe
litcor2,Naaktoogkaketoe
lobcor1,Westelijke Langsnavelkaketoe
yercac1,Geelstuitbuidelspreeuw
moucac1,Geelstuit-bergbuidelspreeuw
gowcac1,Goudvleugelbuidelspreeuw
rercac1,Roodstuitbuidelspreeuw
batoro1,Bandstaartoropendola
casoro2,Helmoropendola
sobcac1,Zwarte Buidelspreeuw
scrcac1,Bloedstuit-buidelspreeuw
chbcuc3,Roestbuikkoekoek
fatcuc1,Waaierstaartkoekoek
whckoe1,Witkapkoekoek
placuc1,Piet-van-Vliet
palcuc1,Vale Koekoek
placuc3,Grijsbuik-Piet-van-Vliet
babcuc2,Gestreepte Piet-van-Vliet
brucuc1,Treurkoekoek
musduc,Muskuseend
strfie1,Gevlekte Struiksluiper
bawwar1,Gebandeerde Savannezanger
grywrw1,Somalische Savannezanger
miowrw3,Miombosavannezanger (stierlingi groep)
larbun,Prairiegors
humlar1,Tibetaanse Leeuwerik
gstlar1,Kortteenleeuwerik
