eurwar1,Rousserolle effarvatte
clrwar1,Rousserolle stentor
manrew1,Rousserolle mandchoue
ocetap1,Mérulaxe ocellé
ruckin1,Martin-chasseur trapu
spokin1,Martin-chasseur tacheté
grbkin1,Martin-chasseur moine
blwmin1,Actinodure à ailes bleues
rufbar1,Actinodure d'Egerton
hotbar1,Actinodure du Népal
spebar1,Actinodure de Ramsay
chtmin1,Actinodure à gorge striée
sttbar1,Actinodure de Walden
comsan,Chevalier guignette
sposan,Chevalier grivelé
afrjac1,Jacana à poitrine dorée
spehum1,Colibri moucheté
clagre,Grèbe à face blanche
wesgre,Grèbe élégant
lottit1,Orite à longue queue
blttit2,Orite à tête rousse
lottit5,Orite à gorge argent
bkbtit3,Orite de Blyth
whttit1,Orite à gorge blanche
whtior1,Iora à queue blanche
comior1,Petit Iora
greior2,Iora émeraude
nswowl,Petite Nyctale
borowl,Nyctale de Tengmalm
bufowl1,Nyctale de Harris
uswowl1,Nyctale immaculée
auonig1,Égothèle d'Australie
cinvul1,Vautour moine
marswi,Salangane de Guam
ednswi1,Salangane à nid blanc
blnswi1,Salangane à nid noir
andswi1,Martinet des Andes
whtswi1,Martinet montagnard
whtswi,Martinet à gorge blanche
leaauk,Starique minuscule
whiauk,Starique pygmée
fotsun1,Souimanga de Christina
gousun1,Souimanga de Gould
fitsun1,Souimanga queue-de-feu
grtsun1,Souimanga à queue verte
bltsun1,Souimanga sombre
eacsun1,Souimanga siparaja
temsun1,Souimanga de Temminck
wecsun1,Souimanga de Vigors
gyhlov1,Inséparable à tête grise
fislov1,Inséparable de Fischer
yeclov,Inséparable masqué
peflov,Inséparable rosegorge
blwlov1,Inséparable d'Abyssinie
bawcow4,Carouge à ailes baies
rewbla,Carouge à épaulettes
tribla,Carouge de Californie
unibla2,Carouge unicolore
yewbla2,Carouge galonné
paebla2,Carouge à oeil clair
vitsyl1,Sylphe à queue violette
lotsyl1,Sylphe à queue d'azur
bkbsht1,Gaucho à bec noir
chcsta1,Étourneau à joues marron
dausta1,Étourneau de Daourie
grecat1,Jardinier vert
spocat2,Jardinier de Ramsay
oaxspa1,Tohi d'Oaxaca
russpa1,Tohi roussâtre
rucspa,Tohi à calotte fauve
manduc,Canard mandarin
wooduc,Canard branchu
goeant1,Alapi de Goeldi
whsant1,Alapi à épaules blanches
grhlar1,Sirli du désert
skylar,Alouette des champs
orisky1,Alouette gulgule
lstlar2,Alouette de Swinhoe
tstlar1,Alouette de Heine
sanlar1,Alouette raytal
mstlar1,Alouette pispolette
sstlar1,Alouette roussâtre
razorb,Petit Pingouin
comkin1,Martin-pêcheur d'Europe
blekin1,Martin-pêcheur méninting
broful1,Alcippe brun
gycful4,Alcippe de Rippon
gycful5,Alcippe de Huet
gycful1,Alcippe à joues grises
nepful1,Alcippe du Népal
mouful1,Alcippe bridé
brcful1,Alcippe à joues brunes
javful1,Alcippe de Java
runwhi1,Carillonneur à nuque rousse
barpar2,Perdrix gambra
chukar,Perdrix choukar
rocpar2,Perdrix bartavelle
relpar1,Perdrix rouge
ausbrt1,Talégalle de Latham
ficale2,Alèthe à couronne orangée
ficale3,Alèthe à huppe rousse
yefpar5,Amazone à face jaune
aukpar1,Perruche royale
scbthr,Moqueur grivotte
t-11840984,Allard's Ground Cricket
t-11843287,Tinkling Ground Cricket
t-11855914,Walker's Ground Cricket
finbul1,Finsch's Bulbul
whtbul1,Bulbul flavéole
ochbul2,Bulbul ocré
putbul1,Bulbul pâle
yebbul2,Bulbul à calotte grise
gycbul2,Bulbul à joues grises
tahswa2,Hirondelle fardée
egygoo,Ouette d'Égypte
t-11062401,Mexican Black Howler Monkey
legrob1,Petite Pseudobrève
redava,Bengali rouge
unicra1,Râle concolore
isabuh1,Râle isabelle
